tick, station, state, sender, target, dataType, size, desc
0, S03, SEND, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 152.56.31.180/0
0, S03, SEND, 43:7a:cb:e7:a4:6c, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
0, S12, SEND, 178.235.187.92/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 178.235.187.92/0
0, S02, SEND, 35.77.47.88/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 35.77.47.88/0
0, S11, SEND, 14.205.37.179/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 14.205.37.179/0
0, S11, SEND, 80:14:70:15:39:83, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
0, S06, SEND, 7.169.114.21/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 7.169.114.21/0
0, S06, SEND, 77:ac:6c:7d:c4:91, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
0, S04, SEND, 155.202.229.150/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 155.202.229.150/0
0, S10, SEND, 48.151.68.235/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 48.151.68.235/0
0, S10, SEND, ba:8a:7d:2:e4:ce, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
0, S07, SEND, 162.110.76.201/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 162.110.76.201/0
0, S14, SEND, 177.45.112.71/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 177.45.112.71/0
0, S08, SEND, 131.64.58.102/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 131.64.58.102/0
0, S01, SEND, 96.56.122.190/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 96.56.122.190/0
0, S09, SEND, 11.45.251.230/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 11.45.251.230/0
0, S05, SEND, 160.220.175.59/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 160.220.175.59/0
0, S13, SEND, 35.244.24.95/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 35.244.24.95/0
0, S15, SEND, 130.189.133.177/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 130.189.133.177/0
4, S04, RECEIVE, 43:7a:cb:e7:a4:6c, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
4, S04, RECEIVE, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 152.56.31.180/0
4, S14, RECEIVE, 80:14:70:15:39:83, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
4, S14, RECEIVE, 14.205.37.179/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 14.205.37.179/0
4, S08, RECEIVE, 43:7a:cb:e7:a4:6c, ff:ff:ff:ff:ff:ff, Frame, 44, DATA
4, S08, RECEIVE, 152.56.31.180/0, 255.255.255.255/0, RCPacket, 24, ROUTE_REQ:0 152.56.31.180/0
